from.id	from.cord	to.id	to.cord
3	120000	33	1320000
35	1400000	40	1600000
43	1720000	46	1840000
47	1880000	54	2160000
56	2240000	59	2360000
62	2480000	82	3280000
83	3320000	89	3560000
95	3800000	158	6320000
160	6400000	163	6520000
165	6600000	193	7720000
194	7760000	241	9640000
242	9680000	278	11120000
279	11160000	329	13160000
330	13200000	357	14280000
358	14320000	401	16040000
402	16080000	439	17560000
440	17600000	451	18040000
452	18080000	488	19520000
489	19560000	537	21480000
538	21520000	616	24640000
617	24680000	726	29040000
727	29080000	800	32000000
801	32040000	864	34560000
865	34600000	902	36080000
903	36120000	945	37800000
946	37840000	984	39360000
985	39400000	1022	40880000
1023	40920000	1081	43240000
1082	43280000	1127	45080000
1128	45120000	1254	50160000
1255	50200000	1274	50960000
1275	51000000	1287	51480000
1288	51520000	1311	52440000
1312	52480000	1338	53520000
1339	53560000	1372	54880000
1373	54920000	1450	58000000
