from.id	from.cord	to.id	to.cord
3	120000	33	1320000
43	1720000	52	2080000
61	2440000	89	3560000
95	3800000	158	6320000
160	6400000	163	6520000
165	6600000	193	7720000
194	7760000	240	9600000
241	9640000	278	11120000
279	11160000	329	13160000
330	13200000	357	14280000
358	14320000	401	16040000
402	16080000	439	17560000
440	17600000	451	18040000
452	18080000	488	19520000
489	19560000	537	21480000
538	21520000	616	24640000
617	24680000	725	29000000
726	29040000	800	32000000
801	32040000	864	34560000
865	34600000	903	36120000
904	36160000	948	37920000
949	37960000	976	39040000
977	39080000	1023	40920000
1024	40960000	1075	43000000
1076	43040000	1128	45120000
1129	45160000	1254	50160000
1255	50200000	1274	50960000
1275	51000000	1287	51480000
1288	51520000	1310	52400000
1311	52440000	1338	53520000
1339	53560000	1372	54880000
1373	54920000	1450	58000000
